interviewee_id,event_id,role
INT001,EVT001,主要受访者
INT020,EVT001,参与讨论者
INT011,EVT002,政策执行者
INT027,EVT002,受益方代表
INT003,EVT003,经营户代表
INT022,EVT003,行业观察员
INT002,EVT004,村民代表
INT004,EVT005,行业带头人
INT024,EVT006,职工代表
INT025,EVT007,务工人员代表
INT023,EVT008,企业主
INT017,EVT009,搬迁户代表
INT014,EVT009,产业户代表
INT019,EVT010,岗位持有者
INT021,EVT010,相关从业者
INT010,EVT011,站点负责人
INT009,EVT005,组织者
INT005,EVT004,监督员
INT008,EVT011,政策协调员
INT006,EVT008,合作农户
INT007,EVT010,牧民代表
INT012,EVT001,种植户代表
INT013,EVT010,牧民代表
INT015,EVT009,企业代表
INT016,EVT006,企业主
INT018,EVT001,合作社理事长
INT026,EVT002,互助养老代表
INT028,EVT001,种植大户
INT029,EVT003,旅游从业者
INT030,EVT001,种植户代表
INT031,EVT010,资源采集员
