county_id,year,land_area,land_area_yoy,households,households_yoy,registered_pop,registered_pop_yoy
NMG000001,2018,3518.0,0.0,142764.0,1.3,31.94,-0.2
NMG000001,2019,3518.0,0.0,143175.0,0.3,31.74,-0.6
NMG000001,2020,3518.0,0.0,142870.0,-0.2,31.45,-0.9
NMG000001,2021,3512.0,-0.2,142730.0,-0.1,31.15,-1.0
NMG000001,2022,3513.0,0.0,142279.0,-0.3,30.87,-0.9
NMG000001,2023,3513.0,0.0,141866.0,-0.3,30.52,-1.1
NMG000002,2018,2534.0,-0.0,80205.0,2.0,16.31,-0.4
NMG000002,2019,2534.0,0.0,80516.0,0.4,16.19,-0.7
NMG000002,2020,2534.0,0.0,79766.0,-0.9,15.94,-1.6
NMG000002,2021,2534.0,0.0,79688.0,-0.1,15.78,-1.0
NMG000002,2022,2534.0,0.0,79873.0,0.2,15.64,-0.9
NMG000002,2023,2534.0,0.0,79707.0,-0.2,15.43,-1.4
NMG000003,2018,3119.0,0.0,98141.0,0.4,20.0,-1.0
NMG000003,2019,3119.0,0.0,98018.0,-0.1,19.74,-1.3
NMG000003,2020,3119.0,0.0,97245.0,-0.8,19.56,-0.9
NMG000003,2021,3119.0,0.0,96309.0,-1.0,19.2,-1.8
NMG000003,2022,3119.0,0.0,95436.0,-0.9,18.89,-1.6
NMG000003,2023,3119.0,0.0,94458.0,-1.0,18.52,-2.0
NMG000004,2018,4284.0,0.0,153346.0,1.6,33.15,-0.1
NMG000004,2019,4284.0,0.0,154471.0,0.7,32.92,-0.7
NMG000004,2020,4284.0,0.0,154111.0,-0.2,32.53,-1.2
NMG000004,2021,4284.0,0.0,154114.0,0.0,32.23,-0.9
NMG000004,2022,4284.0,0.0,153900.0,-0.1,31.94,-0.9
NMG000004,2023,4284.0,0.0,153608.0,-0.2,31.56,-1.2
NMG000005,2018,24036.0,0.0,104098.0,1.8,21.24,0.0
NMG000005,2019,24036.0,0.0,105125.0,1.0,21.11,-0.6
NMG000005,2020,24036.0,-0.0,105477.0,0.3,20.91,-0.9
NMG000005,2021,24036.0,0.0,105558.0,0.1,20.66,-1.2
NMG000005,2022,24036.0,0.0,105382.0,-0.2,20.47,-0.9
NMG000005,2023,24036.0,0.0,105111.0,-0.3,20.24,-1.1
NMG000006,2018,4186.0,0.0,100932.0,0.5,20.22,-0.5
NMG000006,2019,4186.0,0.0,100081.0,-0.8,19.96,-1.3
NMG000006,2020,4186.0,0.0,98434.0,-1.6,19.59,-1.8
NMG000006,2021,4186.0,0.0,97497.0,-1.0,19.31,-1.5
NMG000006,2022,4186.0,0.0,96669.0,-0.8,19.06,-1.3
NMG000006,2023,4186.0,0.0,95792.0,-0.9,18.75,-1.6
NMG000007,2018,2440.0,0.0,112082.0,0.6,21.55,-0.3
NMG000007,2019,2440.0,0.0,110508.0,-1.4,21.21,-1.6
NMG000007,2020,2440.0,0.0,108757.0,-1.6,20.85,-1.7
NMG000007,2021,2454.0,0.6,107895.0,-0.8,20.64,-1.0
NMG000007,2022,2454.0,0.0,107270.0,-0.6,20.46,-0.9
NMG000007,2023,2454.0,0.0,106385.0,-0.8,20.26,-1.0
NMG000008,2018,3910.0,0.0,92057.0,1.3,20.68,-0.6
NMG000008,2019,3910.0,0.0,92032.0,0.0,20.47,-1.0
NMG000008,2020,3910.0,0.0,91519.0,-0.6,20.19,-1.4
NMG000008,2021,3910.0,0.0,91656.0,0.1,19.95,-1.2
NMG000008,2022,3910.0,0.0,91671.0,0.0,19.75,-1.0
NMG000008,2023,3910.0,0.0,91817.0,0.2,19.49,-1.3
NMG000009,2018,11837.0,0.0,151334.0,0.3,38.9,-0.2
NMG000009,2019,11837.0,0.0,150323.0,-0.7,38.6,-0.8
NMG000009,2020,11837.0,0.0,149343.0,-0.7,38.25,-0.9
NMG000009,2021,11837.0,0.0,148900.0,-0.3,38.06,-0.5
NMG000009,2022,11116.0,-6.1,148683.0,-0.1,37.91,-0.4
NMG000009,2023,11116.0,0.0,148381.0,-0.2,37.75,-0.4
NMG000010,2018,15613.0,0.0,90781.0,-0.2,25.26,-0.1
NMG000010,2019,15613.0,0.0,90195.0,-0.6,25.18,-0.3
NMG000010,2020,15613.0,0.0,90203.0,0.0,24.97,-0.8
NMG000010,2021,15613.0,0.0,90172.0,0.0,24.9,-0.3
NMG000010,2022,15613.0,0.0,89655.0,-0.6,24.82,-0.3
NMG000010,2023,15613.0,0.0,89819.0,0.2,24.68,-0.6
NMG000011,2018,16964.0,0.0,123785.0,0.9,33.25,0.3
NMG000011,2019,16964.0,0.0,124703.0,0.7,33.2,-0.1
NMG000011,2020,16964.0,0.0,125306.0,0.5,33.18,-0.1
NMG000011,2021,16964.0,0.0,125871.0,0.5,33.17,0.0
NMG000011,2022,16964.0,-0.0,126107.0,0.2,33.1,-0.2
NMG000011,2023,16964.0,0.0,126538.0,0.3,32.97,-0.4
NMG000012,2018,4797.0,0.0,128158.0,6.2,29.96,-0.2
NMG000012,2019,4797.0,0.0,127990.0,-0.1,29.86,-0.3
NMG000012,2020,4797.0,0.0,126867.0,-0.9,29.5,-1.2
NMG000012,2021,4797.0,0.0,126954.0,0.1,29.35,-0.5
NMG000012,2022,4797.0,0.0,126919.0,0.0,29.25,-0.3
NMG000012,2023,4797.0,0.0,126744.0,-0.1,29.04,-0.7
NMG000013,2018,7409.0,0.0,22032.0,0.3,4.53,-1.2
NMG000013,2019,7409.0,0.0,21849.0,-0.8,4.43,-2.0
NMG000013,2020,7409.0,0.0,21610.0,-1.1,4.34,-2.2
NMG000013,2021,7409.0,0.0,21323.0,-1.3,4.24,-2.2
NMG000013,2022,7398.0,-0.2,21062.0,-1.2,4.15,-2.1
NMG000013,2023,7398.0,0.0,20719.0,-1.6,4.03,-2.8
NMG000014,2018,10356.0,0.0,139749.0,1.0,31.96,-0.2
NMG000014,2019,10356.0,0.0,139739.0,0.0,31.64,-1.0
NMG000014,2020,10356.0,-0.0,139567.0,-0.1,31.42,-0.7
NMG000014,2021,10356.0,0.0,138249.0,-0.9,30.99,-1.4
NMG000014,2022,10356.0,0.0,138216.0,0.0,30.82,-0.6
NMG000014,2023,10356.0,0.0,137578.0,-0.5,30.6,-0.7
NMG000015,2018,54688.0,0.0,113005.0,-0.4,24.85,-1.4
NMG000015,2019,54688.0,0.0,112317.0,-0.6,24.5,-1.4
NMG000015,2020,54688.0,0.0,111251.0,-0.9,24.07,-1.7
NMG000015,2021,54688.0,0.0,109673.0,-1.4,23.53,-2.2
NMG000015,2022,54688.0,0.0,108646.0,-0.9,23.15,-1.6
NMG000015,2023,54688.0,0.0,107465.0,-1.1,22.72,-1.9
NMG000016,2018,4682.0,-0.0,76849.0,1.2,17.11,-0.5
NMG000016,2019,4682.0,0.0,77018.0,0.2,16.94,-1.0
NMG000016,2020,4683.0,0.0,76650.0,-0.5,16.7,-1.4
NMG000016,2021,4682.0,0.0,76262.0,-0.5,16.46,-1.5
NMG000016,2022,4682.0,-0.0,75811.0,-0.6,16.29,-1.0
NMG000016,2023,4682.0,0.0,75276.0,-0.7,16.04,-1.5
NMG000017,2018,3050.0,0.0,144735.0,1.2,34.53,-0.2
NMG000017,2019,3050.0,0.0,145406.0,0.5,34.56,0.1
NMG000017,2020,3050.0,0.0,144290.0,-0.8,34.27,-0.8
NMG000017,2021,3050.0,0.0,144699.0,0.3,34.26,0.0
NMG000017,2022,3050.0,0.0,144917.0,0.2,34.12,-0.4
NMG000017,2023,3050.0,0.0,145171.0,0.2,34.0,-0.4
NMG000018,2018,4305.0,0.0,220557.0,0.4,60.56,0.4
NMG000018,2019,4305.0,0.0,220691.0,0.1,60.56,0.0
NMG000018,2020,4305.0,0.0,219394.0,-0.6,60.21,-0.6
NMG000018,2021,4311.0,0.1,218901.0,-0.2,60.04,-0.3
NMG000018,2022,4311.0,0.0,218900.0,0.0,59.93,-0.2
NMG000018,2023,4311.0,0.0,218401.0,-0.2,59.82,-0.2
NMG000019,2018,9837.0,0.0,88933.0,0.8,18.22,-0.2
NMG000019,2019,9837.0,0.0,89353.0,0.5,18.21,0.0
NMG000019,2020,9837.0,0.0,88858.0,-0.6,18.07,-0.7
NMG000019,2021,9837.0,0.0,87979.0,-1.0,17.87,-1.1
NMG000019,2022,9837.0,0.0,85488.0,-2.8,17.8,-0.4
NMG000019,2023,9837.0,0.0,87656.0,2.5,17.75,-0.2
NMG000020,2018,6459.0,0.0,149445.0,0.3,34.0,-0.5
NMG000020,2019,6459.0,0.0,150188.0,0.5,33.96,-0.1
NMG000020,2020,6464.0,0.1,149773.0,-0.3,33.64,-0.9
NMG000020,2021,6471.0,0.1,149947.0,0.1,33.5,-0.4
NMG000020,2022,6471.0,0.0,150099.0,0.1,33.43,-0.2
NMG000020,2023,6471.0,0.0,149934.0,-0.1,33.24,-0.6
NMG000021,2018,8294.0,0.0,249725.0,1.0,60.55,0.1
NMG000021,2019,8294.0,0.0,251120.0,0.6,60.49,-0.1
NMG000021,2020,8294.0,0.0,249012.0,-0.8,59.78,-1.2
NMG000021,2021,8294.0,0.0,249055.0,0.0,59.57,-0.3
NMG000021,2022,8294.0,0.0,248239.0,-0.3,59.24,-0.6
NMG000021,2023,8294.0,0.0,247552.0,-0.3,59.0,-0.4
NMG000022,2018,3933.0,0.0,109851.0,-0.6,23.01,-1.4
NMG000022,2019,3933.0,0.0,110049.0,0.2,22.99,-0.1
NMG000022,2020,3933.0,0.0,108769.0,-1.2,22.6,-1.7
NMG000022,2021,3933.0,0.0,106781.0,-1.8,22.13,-2.1
NMG000022,2022,3933.0,0.0,106597.0,-0.2,22.03,-0.4
NMG000022,2023,3933.0,0.0,106493.0,-0.1,22.07,0.1
NMG000023,2018,11882.0,0.0,202605.0,0.8,47.7,-0.4
NMG000023,2019,11882.0,0.0,203949.0,0.7,47.61,-0.2
NMG000023,2020,11882.0,0.0,203022.0,-0.5,47.04,-1.2
NMG000023,2021,11882.0,0.0,203264.0,0.1,46.79,-0.5
NMG000023,2022,11882.0,0.0,203707.0,0.2,46.62,-0.4
NMG000023,2023,11882.0,0.0,204300.0,0.3,46.39,-0.5
NMG000024,2018,14555.0,0.0,139161.0,0.2,29.23,-0.2
NMG000024,2019,14555.0,0.0,139715.0,0.4,29.26,0.1
NMG000024,2020,14555.0,0.0,137842.0,-1.3,28.88,-1.3
NMG000024,2021,14555.0,0.0,138052.0,0.2,28.87,0.0
NMG000024,2022,14555.0,0.0,137486.0,-0.4,28.72,-0.5
NMG000024,2023,14555.0,0.0,137174.0,-0.2,28.63,-0.3
NMG000025,2018,8135.0,0.0,160612.0,0.2,44.53,-0.1
NMG000025,2019,8135.0,0.0,160918.0,0.2,44.58,0.1
NMG000025,2020,8135.0,0.0,161221.0,0.2,44.47,-0.2
NMG000025,2021,8135.0,0.0,161569.0,0.2,44.47,0.0
NMG000025,2022,8135.0,0.0,161585.0,0.0,44.4,-0.2
NMG000025,2023,8135.0,0.0,161868.0,0.2,44.34,-0.1
NMG000026,2018,4709.0,-0.0,68109.0,0.1,17.77,-0.4
NMG000026,2019,4709.0,-0.0,68282.0,0.3,17.74,-0.2
NMG000026,2020,4709.0,0.0,67857.0,-0.6,17.65,-0.5
NMG000026,2021,4709.0,0.0,67768.0,-0.1,17.6,-0.3
NMG000026,2022,4709.0,0.0,67477.0,-0.4,17.54,-0.4
NMG000026,2023,4709.0,0.0,67138.0,-0.5,17.47,-0.4
NMG000027,2018,9573.0,0.0,206212.0,1.0,52.09,-0.2
NMG000027,2019,9573.0,0.0,207794.0,0.8,52.01,-0.2
